tconst,primary_title,start_year,genres,averagerating,studio,domestic_gross,year,Genre1,Genre2,Genre3
tt0359950,The Secret Life of Walter Mitty,2013,"Adventure,Comedy,Drama",7.3,Fox,58200000.0,2013,Adventure,Comedy,Drama
tt0365907,A Walk Among the Tombstones,2014,"Action,Crime,Drama",6.5,Uni.,26300000.0,2014,Action,Crime,Drama
tt0369610,Jurassic World,2015,"Action,Adventure,Sci-Fi",7.0,Uni.,652300000.0,2015,Action,Adventure,Sci-Fi
tt0372538,Spy,2011,"Action,Crime,Drama",6.6,Fox,110800000.0,2015,Action,Crime,Drama
tt0383010,The Three Stooges,2012,"Comedy,Family",5.1,Fox,44300000.0,2012,Comedy,Family,
tt0398286,Tangled,2010,"Adventure,Animation,Comedy",7.8,BV,200800000.0,2010,Adventure,Animation,Comedy
tt0401729,John Carter,2012,"Action,Adventure,Sci-Fi",6.6,BV,73100000.0,2012,Action,Adventure,Sci-Fi
tt0409847,Cowboys & Aliens,2011,"Action,Sci-Fi,Thriller",6.0,Uni.,100200000.0,2011,Action,Sci-Fi,Thriller
tt0429493,The A-Team,2010,"Action,Adventure,Thriller",6.8,Fox,77200000.0,2010,Action,Adventure,Thriller
tt0433035,Real Steel,2011,"Action,Drama,Family",7.1,BV,85500000.0,2011,Action,Drama,Family
tt0435761,Toy Story 3,2010,"Adventure,Animation,Comedy",8.3,BV,415000000.0,2010,Adventure,Animation,Comedy
tt0443272,Lincoln,2012,"Biography,Drama,History",7.4,BV,182200000.0,2012,Biography,Drama,History
tt0446029,Scott Pilgrim vs. the World,2010,"Action,Comedy,Fantasy",7.5,Uni.,31500000.0,2010,Action,Comedy,Fantasy
tt0451279,Wonder Woman,2017,"Action,Adventure,Fantasy",7.5,WB,412600000.0,2017,Action,Adventure,Fantasy
tt0454876,Life of Pi,2012,"Adventure,Drama,Fantasy",7.9,Fox,125000000.0,2012,Adventure,Drama,Fantasy
tt0455944,The Equalizer,2014,"Action,Crime,Thriller",7.2,Sony,101500000.0,2014,Action,Crime,Thriller
tt0471042,Tower Heist,2011,"Action,Comedy,Crime",6.2,Uni.,78000000.0,2011,Action,Comedy,Crime
tt0472181,The Smurfs,2011,"Adventure,Animation,Comedy",5.5,Sony,142600000.0,2011,Adventure,Animation,Comedy
tt0473075,Prince of Persia: The Sands of Time,2010,"Action,Adventure,Fantasy",6.6,BV,90800000.0,2010,Action,Adventure,Fantasy
tt0475290,"Hail, Caesar!",2016,"Comedy,Drama,Music",6.3,Uni.,30500000.0,2016,Comedy,Drama,Music
tt0477080,Unstoppable,2010,"Action,Thriller",6.8,Fox,81600000.0,2010,Action,Thriller,
tt0477302,Extremely Loud & Incredibly Close,2011,"Adventure,Drama,Mystery",6.9,WB,31800000.0,2011,Adventure,Drama,Mystery
tt0478970,Ant-Man,2015,"Action,Adventure,Comedy",7.3,BV,180200000.0,2015,Action,Adventure,Comedy
tt0480255,The Losers,2010,"Action,Adventure,Crime",6.4,WB,23600000.0,2010,Action,Adventure,Crime
tt0481499,The Croods,2013,"Action,Adventure,Animation",7.2,Fox,187200000.0,2013,Action,Adventure,Animation
tt0485985,Red Tails,2012,"Action,Adventure,Drama",5.9,Fox,49900000.0,2012,Action,Adventure,Drama
tt0491152,Something Borrowed,2011,"Comedy,Drama,Romance",5.9,WB,39000000.0,2011,Comedy,Drama,Romance
tt0493949,Ramona and Beezus,2010,"Adventure,Comedy,Family",6.6,Fox,26200000.0,2010,Adventure,Comedy,Family
tt0770703,What's Your Number?,2011,"Comedy,Romance",6.1,Fox,14000000.0,2011,Comedy,Romance,
tt0770828,Man of Steel,2013,"Action,Adventure,Sci-Fi",7.1,WB,291000000.0,2013,Action,Adventure,Sci-Fi
tt0780653,The Wolfman,2010,"Drama,Fantasy,Horror",5.8,Uni.,62000000.0,2010,Drama,Fantasy,Horror
tt0790736,R.I.P.D.,2013,"Action,Adventure,Comedy",5.6,Uni.,33600000.0,2013,Action,Adventure,Comedy
tt0803096,Warcraft,2016,"Action,Adventure,Fantasy",6.9,Uni.,47400000.0,2016,Action,Adventure,Fantasy
tt0804509,The Mule,2013,"Comedy,Drama",6.2,WB,103800000.0,2018,Comedy,Drama,
tt0808510,Tooth Fairy,2010,"Comedy,Family,Fantasy",5.0,Fox,60000000.0,2010,Comedy,Family,Fantasy
tt0810913,Jack and Jill,2011,Comedy,3.3,Sony,74200000.0,2011,Comedy,,
tt0816442,The Book Thief,2013,"Drama,War",7.6,Fox,21500000.0,2013,Drama,War,
tt0817177,Flipped,2010,"Comedy,Drama,Romance",7.7,WB,1800000.0,2010,Comedy,Drama,Romance
tt0829150,Dracula Untold,2014,"Action,Drama,Fantasy",6.3,Uni.,56300000.0,2014,Action,Drama,Fantasy
tt0837562,Hotel Transylvania,2012,"Animation,Comedy,Family",7.1,Sony,148300000.0,2012,Animation,Comedy,Family
tt0840361,The Town,2010,"Crime,Drama,Thriller",7.6,WB,92200000.0,2010,Crime,Drama,Thriller
tt0848537,Epic,2013,"Adventure,Animation,Family",6.7,Fox,107500000.0,2013,Adventure,Animation,Family
tt0850709,Risen,2010,"Biography,Drama",5.3,Sony,36900000.0,2016,Biography,Drama,
tt0864835,Mr. Peabody & Sherman,2014,"Adventure,Animation,Comedy",6.8,Fox,111500000.0,2014,Adventure,Animation,Comedy
tt0872230,My Soul to Take,2010,"Horror,Mystery,Thriller",4.8,Uni.,14700000.0,2010,Horror,Mystery,Thriller
tt0879870,Eat Pray Love,2010,"Drama,Romance",5.8,Sony,80600000.0,2010,Drama,Romance,
tt0881320,Sanctum,2011,"Adventure,Drama,Thriller",5.9,Uni.,23200000.0,2011,Adventure,Drama,Thriller
tt0918940,The Legend of Tarzan,2016,"Action,Adventure,Drama",6.3,WB,126600000.0,2016,Action,Adventure,Drama
tt0944835,Salt,2010,"Action,Mystery,Thriller",6.4,Sony,118300000.0,2010,Action,Mystery,Thriller
tt0947810,Green Zone,2010,"Action,Drama,Thriller",6.8,Uni.,35100000.0,2010,Action,Drama,Thriller
tt0948470,The Amazing Spider-Man,2012,"Action,Adventure,Sci-Fi",7.0,Sony,262000000.0,2012,Action,Adventure,Sci-Fi
tt0955308,Robin Hood,2010,"Action,Adventure,Drama",6.6,Uni.,105300000.0,2010,Action,Adventure,Drama
tt0963966,The Sorcerer's Apprentice,2010,"Action,Adventure,Family",6.1,BV,63200000.0,2010,Action,Adventure,Family
tt0970866,Little Fockers,2010,"Comedy,Romance",5.5,Uni.,148400000.0,2010,Comedy,Romance,
tt0974015,Justice League,2017,"Action,Adventure,Fantasy",6.5,WB,229000000.0,2017,Action,Adventure,Fantasy
tt0978764,Sucker Punch,2011,"Action,Adventure,Fantasy",6.1,WB,36400000.0,2011,Action,Adventure,Fantasy
tt0980970,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,"Adventure,Family,Fantasy",6.3,Fox,104400000.0,2010,Adventure,Family,Fantasy
tt0985694,Machete,2010,"Action,Crime,Thriller",6.6,Fox,26600000.0,2010,Action,Crime,Thriller
tt0990407,The Green Hornet,2011,"Action,Comedy,Crime",5.8,Sony,98800000.0,2011,Action,Comedy,Crime
tt1024648,Argo,2012,"Biography,Drama,Thriller",7.7,WB,136000000.0,2012,Biography,Drama,Thriller
tt1027718,Wall Street: Money Never Sleeps,2010,Drama,6.2,Fox,52500000.0,2010,Drama,,
tt1028576,Secretariat,2010,"Biography,Drama,Family",7.2,BV,59700000.0,2010,Biography,Drama,Family
tt1037705,The Book of Eli,2010,"Action,Adventure,Drama",6.9,WB,94800000.0,2010,Action,Adventure,Drama
tt1038919,The Bounty Hunter,2010,"Action,Comedy,Romance",5.6,Sony,67099999.0,2010,Action,Comedy,Romance
tt1047540,Parental Guidance,2012,"Comedy,Family",6.1,Fox,77300000.0,2012,Comedy,Family,
tt1051904,Goosebumps,2015,"Adventure,Comedy,Family",6.3,Sony,80100000.0,2015,Adventure,Comedy,Family
tt1053424,Repo Men,2010,"Action,Crime,Sci-Fi",6.3,Uni.,13800000.0,2010,Action,Crime,Sci-Fi
tt1053810,The Big Year,2011,Comedy,6.2,Fox,7200000.0,2011,Comedy,,
tt1055292,Life as We Know It,2010,"Comedy,Drama,Romance",6.6,WB,53400000.0,2010,Comedy,Drama,Romance
